"","AU","TI","SO","PY","Variety","Coder","Removed","Reason"
"1","WOOLFORD K","JUST IN TYNESIDE ENGLISH","WORLD ENGLISHES",NA,"Tyneside",NA,NA,NA
"2","CHILDS C;HARVEY C;CORRIGAN KP;TAGLIAMONTE S","TRANSATLANTIC PERSPECTIVES ON VARIATION IN NEGATIVE EXPRESSIONS","ENGLISH LANGUAGE \& LINGUISTICS",2020,"Tyneside",NA,NA,NA
"3","CONSTANTINOU F;CHAMBERS L","NON-STANDARD ENGLISH IN UK STUDENTS' WRITING OVER TIME","LANGUAGE AND EDUCATION",2020,"Tyneside",NA,NA,NA
"4","HEJNA M;ACKERMAN L;WALLENBERG JC","ATTENTION TO PEOPLE LIKE YOU: A PROPOSAL REGARDING NEUROENDOCRINE EFFECTS ON LINGUISTIC VARIATION","BIOLINGUISTICS",2020,"Tyneside",NA,NA,NA
"5","AVERY K;BLAZEBY J;WILSON N;MACEFIELD R;COUSINS S;MAIN B;BLENCOWE J;ELLIOTT D;HINCHLIFFE R;POTTER S","DEVELOPMENT OF REPORTING GUIDANCE AND CORE OUTCOME SETS FOR SEAMLESS, STANDARDISED EVALUATION OF INNOVATIVE SURGICAL PROCEDURES AND DEVICES: A STUDY PROTOCOL FOR CONTENT GENERATION AND A DELPHI CONSENSUS PROCESS (COHESIVE STUDY)","BMJ OPEN",2019,"Tyneside",NA,NA,NA
"6","CHILDS C","INTERVIEWER EFFECTS ON THE PHONETIC REDUCTION OF NEGATIVE TAGS, INNIT?","JOURNAL OF PRAGMATICS",2019,"Tyneside",NA,NA,NA
"7","CHILDS C","INTEGRATING SYNTACTIC THEORY AND VARIATIONIST ANALYSIS: THE STRUCTURE OF NEGATIVE INDEFINITES IN REGIONAL DIALECTS OF BRITISH ENGLISH","GLOSSA-A JOURNAL OF GENERAL LINGUISTICS",2017,"Tyneside",NA,NA,NA
"8","CLAYTON I","PREASPIRATION IN HEBRIDES ENGLISH","JOURNAL OF THE INTERNATIONAL PHONETIC ASSOCIATION",2017,"Tyneside",NA,NA,NA
"9","DE LUSIGNAN S;DOS SANTOS G;CORREA A;HAGUINET F;YONOVA I;LAIR F;BYFORD F;STUTTARD K;CHAN T","POST-AUTHORISATION PASSIVE ENHANCED SAFETY SURVEILLANCE OF SEASONAL INFLUENZA VACCINES: PROTOCOL OF A PILOT STUDY IN ENGLAND","BMJ OPEN",2017,"Tyneside",NA,NA,NA
"10","BUCHSTALLER I;KRAUSE A;AUER A;OTTE S","LEVELLING ACROSS THE LIFE-SPAN?: TRACING THE FACE VOWEL IN PANEL DATA FROM THE NORTH EAST OF ENGLAND","JOURNAL OF SOCIOLINGUISTICS",2017,"Tyneside",NA,NA,NA
"11","SNELL J;ANDREWS R","TO WHAT EXTENT DOES A REGIONAL DIALECT AND ACCENT IMPACT ON THE DEVELOPMENT OF READING AND WRITING SKILLS?","CAMBRIDGE JOURNAL OF EDUCATION",2017,"Tyneside",NA,NA,NA
"12","JENSEN MM","LINKING PLACE AND MIND: LOCALNESS AS A FACTOR IN SOCIO-COGNITIVE SALIENCE","FRONTIERS IN PSYCHOLOGY",2016,"Tyneside",NA,NA,NA
"13","CHILDS C","CANNY GOOD, OR QUITE CANNY? THE SEMANTIC-SYNTACTIC DISTRIBUTION OF CANNY IN THE NORTH EAST OF ENGLAND","ENGLISH WORLD-WIDE",2016,"Tyneside",NA,NA,NA
"14","YOUSSEF E;COOPER V;MINERS A;LLEWELLYN C;POLLARD A;LAGARDE M;SACHIKONYE C;FOREMAN C;PERRY N;NIXON E;FISHER M","UNDERSTANDING HIV-POSITIVE PATIENTS' PREFERENCES FOR HEALTHCARE SERVICES: A PROTOCOL FOR A DISCRETE CHOICE EXPERIMENT","BMJ OPEN",2016,"Tyneside",NA,NA,NA
"15","FEHRINGER C;CORRIGAN K","``YOU'VE GOT TO SORT OF EH HOY THE GEORDIE OUT': MODALS OF OBLIGATION AND NECESSITY IN FIFTY YEARS OF TYNESIDE ENGLISH","ENGLISH LANGUAGE \& LINGUISTICS",2015,"Tyneside",NA,NA,NA
"16","FEHRINGER C;CORRIGAN K","THE RISE OF THE GOING TO FUTURE IN TYNESIDE ENGLISH EVIDENCE FOR FURTHER GRAMMATICALISATION","ENGLISH WORLD-WIDE",2015,"Tyneside",NA,NA,NA
"17","HANCIL S","GRAMMATICALIZATION OF FINAL BUT: FROM CONJUNCTION TO FINAL PARTICLE","FINAL PARTICLES",2015,"Tyneside",NA,NA,NA
"18","DE LOPEZ KL","CLAUSE-FINAL MAN IN TYNESIDE ENGLISH","ENGLISH CORPUS LINGUISTICS: VARIATION IN TIME, SPACE AND GENRE",2013,"Tyneside",NA,NA,NA
"19","NETTLE D;COCKERILL M","DEVELOPMENT OF SOCIAL VARIATION IN REPRODUCTIVE SCHEDULES: A STUDY FROM AN ENGLISH URBAN AREA","PLOS ONE",2010,"Tyneside",NA,NA,NA
"20","MOISL H;MAGUIRE W","IDENTIFYING THE MAIN DETERMINANTS OF PHONETIC VARIATION IN THE NEWCASTLE ELECTRONIC CORPUS OF TYNESIDE ENGLISH","JOURNAL OF QUANTITATIVE LINGUISTICS",2008,"Tyneside",NA,NA,NA
"21","CLARK G;JACKS D","COAL AND THE INDUSTRIAL REVOLUTION, I700-I869","EUROPEAN REVIEW OF ECONOMIC HISTORY",2007,"Tyneside",NA,NA,NA
"22","ROWE C","HE DIVN'T GAN TIV A COLLEGE TI DI THAT, MAN! A STUDY OF DO (AND TO) IN TYNESIDE ENGLISH","LANGUAGE SCIENCES",2007,"Tyneside",NA,NA,NA
